timestep,mean_reward,mean_ep_length
220,45.0000,260
352,40.0000,387
428,100.0000,462
464,50.0000,298
520,185.0000,563
796,35.0000,426
804,60.0000,498
1232,50.0000,484
1264,370.0000,803
1332,170.0000,582
1384,300.0000,977
1568,40.0000,368
1704,90.0000,350
1708,155.0000,492
1744,55.0000,445
2000,120.0000,464
2020,30.0000,325
2048,120.0000,392
2492,180.0000,506
2496,95.0000,529
2500,135.0000,482
2524,485.0000,868
2724,15.0000,273
2752,35.0000,298
2820,70.0000,332
2948,105.0000,484
3088,80.0000,376
3108,110.0000,442
3252,70.0000,337
3332,135.0000,560
3372,55.0000,300
3496,55.0000,466
3576,60.0000,363
3700,70.0000,427
3840,65.0000,315
3892,225.0000,568
4016,115.0000,559
4044,50.0000,261
4264,80.0000,263
4292,35.0000,447
4392,185.0000,736
4584,110.0000,336
4740,285.0000,774
4932,70.0000,391
5060,195.0000,723
5100,325.0000,873
5184,60.0000,306
5200,140.0000,504
5408,65.0000,399
5444,105.0000,398
5608,180.0000,477
5632,45.0000,484
5804,35.0000,241
6064,75.0000,470
6112,235.0000,728
6164,275.0000,792
6288,105.0000,530
6396,65.0000,372
6488,10.0000,371
6628,35.0000,383
6700,220.0000,636
6820,75.0000,475
6832,60.0000,396
7164,105.0000,581
7224,50.0000,451
7464,240.0000,800
7472,75.0000,288
7500,175.0000,733
7684,35.0000,266
7796,55.0000,369
7916,80.0000,448
8044,240.0000,940
8132,120.0000,375
8440,305.0000,811
8556,430.0000,687
8572,135.0000,569
8888,90.0000,502
8888,380.0000,807
8924,90.0000,400
9120,310.0000,591
9240,75.0000,402
9536,340.0000,697
9620,65.0000,431
9664,410.0000,783
9676,165.0000,586
9868,15.0000,375
10136,100.0000,517
10264,155.0000,645
10356,105.0000,541
10500,160.0000,919
10816,180.0000,606
10816,285.0000,726
10948,210.0000,650
11104,135.0000,656
11364,180.0000,609
11400,180.0000,638
11592,105.0000,688
11700,105.0000,373
11920,0.0000,378
12032,210.0000,983
12040,105.0000,389
12048,80.0000,700
12512,105.0000,636
12540,50.0000,536
12552,50.0000,536
12640,180.0000,660
12964,135.0000,480
13044,100.0000,461
13216,160.0000,710
13340,325.0000,852
13768,265.0000,863
13988,295.0000,974
14132,240.0000,951
14240,180.0000,960
14272,270.0000,538
14480,295.0000,539
14700,115.0000,497
14852,85.0000,434
14868,195.0000,768
14932,135.0000,697
15044,30.0000,375
15460,245.0000,623
15480,170.0000,686
15752,170.0000,852
15832,140.0000,850
15984,185.0000,546
16240,50.0000,523
16368,285.0000,955
16576,250.0000,784
16824,115.0000,489
16988,215.0000,805
17004,295.0000,1063
17072,75.0000,535
17272,115.0000,490
17564,185.0000,524
17652,190.0000,707
17676,220.0000,706
17868,230.0000,631
18284,115.0000,476
18544,415.0000,1015
18716,460.0000,1086
18804,445.0000,1190
18816,435.0000,590
19100,205.0000,615
19328,245.0000,656
19508,260.0000,759
19672,365.0000,632
19728,215.0000,957
20020,90.0000,401
20048,265.0000,776
20188,295.0000,728
20376,160.0000,685
